year,atc_level,aggregation,source_file,source_encoding,source_columns,canonical_columns,input_rows,target_rows,duplicate_target_key_rows,negative_beneficiary_cells,negative_expenditure_cells,negative_reimbursement_base_cells,negative_boxes_cells,output_file
2023,ATC5,national,data/raw/open_medic/2023/atc5/NB_2023_atc5.CSV.gz,utf-8,ATC5|l_atc5|nbc|REM|BSE|BOITES,ATC5|l_atc5|nbc|REM|BSE|BOITES,1156,4,0,0,0,0,0,data/interim/open_medic/full/open_medic_atc5_national.parquet
2024,ATC4,age_sex,data/raw/open_medic/2024/atc4/NB_2024_atc4_age_sexe.CSV.gz,cp1252,ATC4|l_atc4|age|sexe|nbc|REM|BSE|BOITES,ATC4|l_atc4|age|sexe|nbc|REM|BSE|BOITES,3524,8,0,0,0,0,0,data/interim/open_medic/full/open_medic_atc4_age_sex.parquet
2024,ATC4,age_sex_region,data/raw/open_medic/2024/atc4/NB_2024_atc4_age_sexe_reg.CSV.gz,cp1252,ATC4|l_atc4|age|sexe|BEN_REG|nbc|REM|BSE|BOITES,ATC4|l_atc4|age|sexe|BEN_REG|nbc|REM|BSE|BOITES,32489,91,0,0,0,0,0,data/interim/open_medic/full/open_medic_atc4_age_sex_region.parquet
2024,ATC4,national,data/raw/open_medic/2024/atc4/NB_2024_atc4.CSV.gz,cp1252,ATC4|l_atc4|nbc|REM|BSE|BOITES,ATC4|l_atc4|nbc|REM|BSE|BOITES,449,1,0,0,0,0,0,data/interim/open_medic/full/open_medic_atc4_national.parquet
2024,ATC4,region,data/raw/open_medic/2024/atc4/NB_2024_atc4_reg.CSV.gz,cp1252,ATC4|l_atc4|BEN_REG|nbc|REM|BSE|BOITES,ATC4|l_atc4|BEN_REG|nbc|REM|BSE|BOITES,6157,15,0,0,0,0,0,data/interim/open_medic/full/open_medic_atc4_region.parquet
2024,ATC5,national,data/raw/open_medic/2024/atc5/NB_2024_atc5.CSV.gz,utf-8,ATC5|l_atc5|nbc|REM|BSE|BOITES,ATC5|l_atc5|nbc|REM|BSE|BOITES,1169,4,0,0,0,0,0,data/interim/open_medic/full/open_medic_atc5_national.parquet
2025,ATC4,age_sex,data/raw/open_medic/2025/atc4/NB_2025_atc4_age_sexe.CSV.gz,utf-8,ATC4|l_atc4|age|sexe|nbc|REM|BSE|BOITES,ATC4|l_atc4|age|sexe|nbc|REM|BSE|BOITES,3612,8,0,0,0,0,0,data/interim/open_medic/full/open_medic_atc4_age_sex.parquet
2025,ATC4,age_sex_region,data/raw/open_medic/2025/atc4/NB_2025_atc4_age_sexe_reg.CSV.gz,utf-8,ATC4|l_atc4|age|sexe|BEN_REG|nbc|REM|BSE|BOITES,ATC4|l_atc4|age|sexe|BEN_REG|nbc|REM|BSE|BOITES,32324,91,0,0,0,0,0,data/interim/open_medic/full/open_medic_atc4_age_sex_region.parquet
2025,ATC4,national,data/raw/open_medic/2025/atc4/NB_2025_atc4.CSV.gz,utf-8,ATC4|l_atc4|nbc|REM|BSE|BOITES,ATC4|l_atc4|nbc|REM|BSE|BOITES,450,1,0,0,0,0,0,data/interim/open_medic/full/open_medic_atc4_national.parquet
2025,ATC4,region,data/raw/open_medic/2025/atc4/NB_2025_atc4_reg.CSV.gz,utf-8,ATC4|l_atc4|BEN_REG|nbc|REM|BSE|BOITES,ATC4|l_atc4|BEN_REG|nbc|REM|BSE|BOITES,5994,14,0,0,0,0,0,data/interim/open_medic/full/open_medic_atc4_region.parquet
2025,ATC5,national,data/raw/open_medic/2025/atc5/NB_2025_atc5.CSV.gz,utf-8,ATC5|l_atc5|nbc|REM|BSE|BOITES,ATC5|l_atc5|nbc|REM|BSE|BOITES,1167,4,0,0,0,0,0,data/interim/open_medic/full/open_medic_atc5_national.parquet
